console,developer,genre,publisher,release,units sold,title,,
NES,Nintendo R&D1,,Nintendo,10/1/88,"1,560,000",Donkey Kong Classics,,
NES,HAL Laboratory,,Nintendo,11/2/84,"1,520,000",F-1 Race,,
NES,Capcom,,Capcom,12/24/88,"1,510,000",Mega Man 2,,
NES,Hudson Soft,,BrÌüderbund,7/31/84,"1,500,000",Lode Runner,,
NES,Nintendo R&D1,,Nintendo,1/30/85,"1,500,000",Ice Climber,,
NES,Hudson Soft,,Hudson Soft,3/5/86,"1,500,000",Ninja Hattori-kun,,
NES,Chunsoft,,Enix,5/27/86,"1,500,000",Dragon Quest,,
NES,TechnÅçs Japan,,Nintendo,5/18/90,"1,480,000",Nintendo World Cup,,
NES,Hudson Soft,,Nintendo,11/2/84,"1,450,000",4 Nin Uchi Mahjong,,
NES,Square,,Square,4/27/90,"1,400,000",Final Fantasy III,,
NES,Nintendo R&D1,,Nintendo,8/13/85,"1,320,000",Gyromite,,
NES,Namco,,Namco,12/22/87,"1,300,000",Pro YakyÅÇ Family Stadium '87,,
NES,Nintendo R&D1,,Nintendo,6/12/84,"1,270,000",Hogan's Alley,,
NES,Namco,,Namco,11/8/84,"1,260,000",Xevious,,
NES,Tose,,Bandai,4/17/86,"1,250,000",Ninja Kid,,
NES,Tose,,Bandai,11/27/86,"1,250,000",Dragon Power,,
NES,Konami,,Konami,1/7/86,"1,200,000",TwinBee,,
NES,Konami,,Konami,7/30/86,"1,200,000",Ganbare Goemon! Karakuri DÅçchÅÇ,,
NES,Capcom,,Capcom,6/8/90,"1,200,000",Chip 'n Dale Rescue Rangers,,
NES,Hudson Soft,,Hudson Soft,12/12/86,"1,150,000",Doraemon,,
NES,Capcom,,Capcom,9/27/86,"1,140,000",Commando,,
NES,Nintendo R&D1,,Nintendo,7/15/83,"1,130,000",Donkey Kong,,
NES,Tose,,Nintendo,11/21/92,"1,120,000",Yoshi's Cookie,,
NES,Nintendo R&D1,,Nintendo,7/15/83,"1,110,000",Donkey Kong Jr.,,
NES,Nintendo R&D1,,Nintendo,7/15/83,"1,100,000",Popeye,,
NES,Namco,,Namco,12/20/88,"1,080,000",Pro YakyÅÇ Family Stadium '88,,
NES,Capcom,,Capcom,9/28/90,"1,080,000",Mega Man 3,,
NES,Tose,,Bandai,2/15/89,"1,060,000",Famicom Jump: Hero Retsuden,,
NES,Tose,,Bandai,11/8/85,"1,050,000",Tag Team Match: MUSCLE,,
NES,Hudson Soft,,Hudson Soft,9/12/86,"1,050,000",Adventure Island,,
NES,Capcom,,Capcom,12/11/85,"1,000,000",1942,,
NES,Hudson Soft,,Hudson Soft,12/20/85,"1,000,000",Bomberman,,
NES,T&E Soft,,T&E Soft,3/18/86,"1,000,000",Hydlide,,
NES,Konami,,Konami,4/25/86,"1,000,000",Gradius,,
NES,Micronics,,Pony Canyon,12/5/86,"1,000,000",Tiger Heli,,
NES,Konami,,Konami,12/22/87,"1,000,000",Metal Gear,,
NES,Nintendo R&D2,,Nintendo,9/20/91,"1,000,000",NES Open Tournament Golf,,
,,,,,,,,
SNES,Nintendo EAD,,Nintendo,11/21/90,"20,610,000",Super Mario World,,
SNES,Nintendo EAD,,Nintendo,7/14/93,"10,550,000",Super Mario All-Stars,,
SNES,Rare,,Nintendo,11/21/94,"9,300,000",Donkey Kong Country,,
SNES,Nintendo EAD,,Nintendo,8/27/92,"8,760,000",Super Mario Kart,,
SNES,Capcom,,Capcom,6/10/92,"6,300,000",Street Fighter II: The World Warrior,,
SNES,Rare,,Nintendo,11/20/95,"5,150,000",Donkey Kong Country 2: Diddy's Kong Quest,,
SNES,Nintendo EAD,,Nintendo,11/21/91,"4,610,000",The Legend of Zelda: A Link to the Past,,
SNES,Nintendo EAD,,Nintendo,8/5/95,"4,120,000",Super Mario World 2: Yoshi's Island,,
SNES,Capcom,,Capcom,7/11/93,"4,100,000",Street Fighter II Turbo: Hyper Fighting,,
SNES,Rare,,Nintendo,11/22/96,"3,510,000",Donkey Kong Country 3: Dixie Kong's Double Trouble!,,
SNES,Square,,Square,4/2/94,"3,420,000",Final Fantasy VI,,
SNES,Rare,,Nintendo,8/30/95,"3,200,000",Killer Instinct,,
SNES,Chunsoft,,Enix,12/9/95,"3,200,000",Dragon Quest VI,,
SNES,Nintendo EAD,,Nintendo,2/21/93,"2,990,000",Star Fox,,
SNES,Nintendo EAD,,Nintendo,11/21/90,"2,850,000",F-Zero,,
SNES,Chunsoft,,Enix,9/27/92,"2,800,000",Dragon Quest V,,
SNES,Square,,Square,12/6/92,"2,450,000",Final Fantasy V,,
SNES,Nintendo R&D1,,Nintendo,7/14/92,"2,310,000",Mario Paint,,
SNES,Square,,Nintendo,3/9/96,"2,140,000",Super Mario RPG,,
SNES,Square,,Square,3/11/95,"2,030,000",Chrono Trigger,,
SNES,Capcom,,Capcom,6/25/94,"2,000,000",Super Street Fighter II,,
SNES,Nintendo EAD,,Nintendo,4/26/91,"1,980,000",SimCity,,
SNES,Square,,Square,8/6/93,"1,830,000",Secret of Mana,,
SNES,Capcom,,Capcom,11/26/93,"1,750,000",Disney's Aladdin,,
SNES,Compile,,Banpresto,12/10/93,"1,700,000",Super Puyo Puyo,,
SNES,Nintendo R&D1,,Nintendo,2/1/92,"1,650,000",Super Scope 6,,
SNES,Sculptured Software,,Acclaim Entertainment,9/9/94,"1,510,000",Mortal Kombat II,,
SNES,Square,,Square,12/10/93,"1,490,000",Romancing SaGa 2,,
SNES,Capcom,,Capcom,12/21/90,"1,480,000",Final Fight,,
SNES,Tose,,Bandai,3/20/93,"1,450,000",,,
SNES,Square,,Square,7/19/91,"1,440,000",Final Fantasy IV,,
SNES,HAL Laboratory,,Nintendo,3/21/96,"1,440,000",Kirby Super Star,,
SNES,Nintendo R&D1,,Nintendo,3/19/94,"1,420,000",Super Metroid,,
SNES,Chunsoft,,Enix,12/6/96,"1,400,000",Dragon Quest III,,
SNES,Square,,Square,1/28/92,"1,320,000",Romancing SaGa,,
SNES,Square,,Square,11/11/95,"1,300,000",Romancing SaGa 3,,
SNES,Westwood Studios,,Virgin Interactive,12/8/94,"1,270,000",The Lion King,,
SNES,Iguana Entertainment,,Acclaim Entertainment,3/4/94,"1,220,000",NBA Jam,,
SNES,Sculptured Software,,Acclaim Entertainment,10/13/95,"1,220,000",Mortal Kombat 3,,
SNES,Capcom,,Capcom,11/20/92,"1,210,000",The Magical Quest Starring Mickey Mouse,,
SNES,Chunsoft,,Enix,12/18/93,"1,200,000",,,
SNES,ASCII Entertainment,,Nintendo,1/20/95,"1,200,000",Derby Stallion III,,
SNES,Capcom,,Capcom,12/17/93,"1,160,000",Mega Man X,,
SNES,Tose,,Bandai,12/17/93,"1,150,000",,,
SNES,Nintendo EAD,,Nintendo,12/21/90,"1,140,000",Pilotwings,,
SNES,ASCII Entertainment,,Nintendo,3/15/96,"1,100,000",Derby Stallion '96,,
SNES,Capcom,,Capcom,10/4/91,"1,090,000",Super Ghouls 'n Ghosts,,
SNES,Capcom,,Capcom,5/22/93,"1,030,000",Final Fight 2,,
,,,,,,,,
N64,Nintendo EAD,,,6/23/96,"11,910,000",Super Mario 64,,
N64,Nintendo EAD,,,12/14/96,"9,870,000",Mario Kart 64,,
N64,Rare,,,8/25/97,"8,090,000",GoldenEye 007,,
N64,Nintendo EAD,,,11/21/98,"7,600,000",The Legend of Zelda: Ocarina of Time,,
N64,HAL Laboratory,,,1/21/99,"5,550,000",Super Smash Bros.,,
N64,Nintendo EAD,,,4/30/99,"5,460,000",PokÌ©mon Stadium,,
N64,Rare,,,11/22/99,"5,270,000",Donkey Kong 64,,
N64,Rare,,,11/14/97,"4,880,000",Diddy Kong Racing,,
N64,Nintendo EAD,,,4/27/97,"4,000,000",Star Fox 64,,
N64,Rare,,,6/29/98,"3,650,000",Banjo-Kazooie,,
N64,HAL Laboratory,,,3/21/99,"3,630,000",PokÌ©mon Snap,,
N64,Nintendo EAD,,,4/27/00,"3,360,000",The Legend of Zelda: Majora's Mask,,
N64,LucasArts,,,4/30/99,"3,100,000",Star Wars Episode I: Racer,,
N64,Nintendo EAD,,,9/27/96,"2,940,000",Wave Race 64,,
N64,Nintendo EAD,,,12/21/97,"2,850,000",Yoshi's Story,,
N64,Hudson Soft,,,12/18/98,"2,700,000",Mario Party,,
N64,LucasArts,,,12/3/96,"2,600,000",Star Wars: Shadows of the Empire,,
N64,Nintendo EAD,,,12/14/00,"2,540,000",PokÌ©mon Stadium 2,,
N64,Rare,,,5/22/00,"2,520,000",Perfect Dark,,
N64,Hudson Soft,,,12/17/99,"2,480,000",Mario Party 2,,
N64,Camelot Software Planning,,,7/21/00,"2,320,000",Mario Tennis,,
N64,Factor 5,,,12/7/98,"2,170,000",Star Wars: Rogue Squadron,,
N64,Nintendo EAD,,,2/28/98,"2,030,000",1080¡ Snowboarding,,
N64,Left Field Productions,,,4/30/00,"2,000,000",Excitebike 64,,
N64,Hudson Soft,,,12/7/00,"1,910,000",Mario Party 3,,
N64,AKI Corporation,,,10/26/98,"1,880,000",WCW/nWo Revenge,,
N64,Ambrella,,,12/12/98,"1,830,000","Hey You, Pikachu!",,
N64,HAL Laboratory,,,3/24/00,"1,770,000",Kirby 64: The Crystal Shards,,
N64,Williams,,,12/3/96,"1,720,000",Cruis'n USA,,
N64,Edge of Reality,,,2/29/00,"1,610,000",Tony Hawk's Pro Skater,,
N64,Paradigm Entertainment,,,7/31/98,"1,600,000",F-1 World Grand Prix,,
N64,Iguana Entertainment,,,3/4/97,"1,500,000",Turok: Dinosaur Hunter,,
N64,Rare,,,11/20/00,"1,490,000",Banjo-Tooie,,
N64,Camelot Software Planning,,,6/11/99,"1,470,000",Mario Golf,,
N64,Iguana Entertainment,,,10/21/98,"1,400,000",Turok 2: Seeds of Evil,,
N64,Intelligent Systems,,,8/11/00,"1,370,000",Paper Mario,,
N64,AKI Corporation,,,11/30/97,"1,300,000",WCW vs. nWo: World Tour,,
N64,Left Field Productions,,,4/27/98,"1,190,000",Kobe Bryant in NBA Courtside,,
N64,AKI Corporation,,,11/17/00,"1,190,000",WWF No Mercy,,
N64,Rare,,,10/11/99,"1,160,000",Jet Force Gemini,,
N64,AKI Corporation,,,10/12/99,"1,140,000",WWF WrestleMania 2000,,
N64,Nintendo R&D3,,,6/23/96,"1,120,000",Pilotwings 64,,
N64,Nintendo EAD,,,7/14/98,"1,100,000",F-Zero X,,
N64,Eurocom,,,10/17/00,"1,080,000",007: The World Is Not Enough,,
N64,Mass Media Games,,,10/31/99,"1,040,000",Namco Museum 64,,
,,,,,,,,
GCN,,,,6/23/05,"7,090,000",Super Smash Bros. Melee,,
GCN,,,,6/25/05,"7,000,000",Mario Kart: Double Dashäó_,,
GCN,,,,6/24/05,"6,310,000",Super Mario Sunshine,,
GCN,,,,6/25/05,"4,070,000",The Legend of Zelda: The Wind Waker,,
GCN,,,,6/23/05,"3,600,000",Luigi's Mansion,,
GCN,,,,6/23/05,"3,150,000",Animal Crossing,,
GCN,,,,6/24/05,"2,820,000",Metroid Prime,,
GCN,,,,6/24/05,"2,560,000",Sonic Adventure 2 Battle,,
GCN,,,,6/26/05,"2,250,000",Paper Mario: The Thousand-Year Door,,
GCN,,,,6/24/05,"2,210,000",Mario Party 4,,
GCN,,,,6/24/05,"2,050,000",Sonic Mega Collection,,
GCN,,,,6/25/05,"2,000,000",Mario Party 5,,
GCN,,,,6/24/05,"1,870,000",Star Fox Adventures,,
GCN,,,,6/27/05,"1,860,000",Mario Party 7,,
GCN,,,,6/25/05,"1,810,000",Pokí©mon Colosseum,,
GCN,,,,6/26/05,"1,650,000",Mario Party 6,,
GCN,,,,6/27/05,"1,610,000",Super Mario Strikers,,
GCN,,,,6/27/05,"1,600,000",Resident Evil 4,,
GCN,,,,6/26/05,"1,600,000",Sonic Heroes,,
GCN,,,,6/25/05,"1,600,000",Kirby Air Ride,,
GCN,,,,6/28/05,"1,590,000",The Legend of Zelda: Twilight Princess,,
GCN,,,,6/25/05,"1,500,000",Soulcalibur II,,
GCN,,,,6/24/05,"1,350,000",Resident Evil,,
GCN,,,,6/25/05,"1,270,000",Sonic Adventure DX,,
GCN,,,,6/27/05,"1,250,000",Pokí©mon XD: Gale of Darkness,,
GCN,,,,6/24/05,"1,250,000",Resident Evil Zero,,
GCN,,,,6/25/05,"1,220,000",Mario Golf: Toadstool Tour,,
GCN,,,,6/26/05,"1,200,000",Shrek 2,,
GCN,,,,6/23/05,"1,190,000",Pikmin,,
GCN,,,,6/25/05,"1,040,000",Naruto Clash of Ninja 2,,
,,,,,,,,
Wii,Nintendo EADGroup 2,Sports,Nintendo,11/19/06,"82,830,000",Wii Sports,,
Wii,Nintendo EAD Group 1,Racing,Nintendo,4/10/08,"37,020,000",Mario Kart Wii,,
Wii,Nintendo EAD Group 2,Sports,Nintendo,7/26/09,"33,060,000",Wii Sports Resort,,
Wii,Nintendo EAD Group 4,Platform,Nintendo,11/15/09,"30,110,000",New Super Mario Bros. Wii,,
Wii,Nintendo EAD Group 5,Fitness,Nintendo,2/12/07,"28,020,000",Wii Play,,
Wii,Nintendo EAD Group 5,Fitness,Nintendo,12/1/07,"22,670,000",Wii Fit,,
Wii,Nintendo EAD Group 5,Fitness,Nintendo,10/1/09,"21,130,000",Wii Fit Plus,,
Wii,Ad hoc development team,"Fighting,action,platform",Nintendo,1/31/08,"13,250,000",Super Smash Bros. Brawl,,
Wii,Nintendo EAD Group 1,platoform,Nintendo,11/1/07,"12,760,000",Super Mario Galaxy,,
Wii,"Nd Cube,Nintendo SPDGroup 4",,Nintendo,7/8/10,"9,290,000",Wii Party,,
Wii,Hudson Soft,,Nintendo,5/29/07,"8,850,000",Mario Party 8,,
Wii,Nintendo EAD Group 1,Action-adventure,Nintendo,5/23/10,"7,670,000",Super Mario Galaxy 2,,
Wii,Nintendo EAD Group 3,Sports,Nintendo,11/19/06,"7,260,000",The Legend of Zelda: Twilight Princess,,
Wii,Sega Sports R&D,,Nintendo,11/6/07,"7,090,000",Mario & Sonic at the Olympic Games,,
Wii,"Retro Studios, Nintendo",Shooter,Nintendo,11/21/10,"6,530,000",Donkey Kong Country Returns,,
Wii,Nintendo EAD Group 3,Sports,Nintendo,11/19/07,"5,790,000",Link's Crossbow Training,,
Wii,Sega Sports R&D,,Nintendo,10/13/09,"5,670,000",Mario & Sonic at the Olympic Winter Games,,
Wii,Ubisoft Paris,,Ubisoft,10/12/10,"5,000,000",Just Dance 2,,
Wii,Nintendo EAD Group 2,,Nintendo,"USA:November 16, 2008","4,320,000",Animal Crossing: City Folk,,
Wii,Ubisoft Paris,,Ubisoft,11/17/09,"4,300,000",Just Dance,,
Wii,Intelligent Systems,Action-adventure,Nintendo,4/9/07,"4,230,000",Super Paper Mario,,
Wii,Nintendo EAD Group 3,Action-adventure,Nintendo,"EU:November 18, 2011","3,930,000",The Legend of Zelda: Skyward Sword,,
Wii,Nintendo EAD Group 4,Puzzle,Nintendo,4/26/07,"3,790,000",Big Brain Academy: Wii Degree,,
Wii,Sega Sports R&D,Sports,Nintendo,"EU:November 13, 2011","3,700,000",Mario & Sonic at the London 2012 Olympic Games,,
Wii,,,Nintendo,10/16/08,"3,240,000",Wii Music,,
Wii,Nd Cube,,Nintendo,"EU:March 2, 2012","3,110,000",Mario Party 9,,
Wii,,Platform,Nintendo,10/21/10,"2,550,000",Super Mario All-Stars: 25th Anniversary Edition,,
Wii,Vicarious Visions,,Activision,10/28/07,"2,000,000",Guitar Hero III: Legends of Rock,,
Wii,,,Ubisoft,11/23/10,"2,000,000",Michael Jackson: The Experience,,
Wii,Capcom,Platform,Capcom,5/31/07,"2,000,000",Resident Evil 4: Wii Edition,,
Wii,Hudson Soft,,Hudson Soft,3/19/08,"2,000,000",Deca Sports,,
Wii,Junction Point Studios,,Disney Interactive Studios,"AU:November 25, 2010","2,000,000",Epic Mickey,,
Wii,,,Nintendo,11/27/07,"2,000,000",Game Party,,
Wii,Capcom Production Studio 1,Party,Capcom,8/1/09,"1,900,000",Monster Hunter Tri,,
Wii,Good-Feel,,Nintendo,10/14/10,"1,850,000",Kirby's Epic Yarn,,
Wii,"Nintendo SPD Group 1, Intelligent Systems",,Nintendo,12/2/06,"1,820,000",WarioWare: Smooth Moves,,
Wii,EA,,EA,5/19/09,"1,800,000",EA Sports Active,,
Wii,HAL Laboratory,Sports,Nintendo,10/24/11,"1,790,000",Kirby's Return to Dream Land,,
Wii,Next Level Games,,Nintendo,"EU:May 25, 2007","1,770,000",Mario Strikers Charged,,
Wii,"Square Enix, Nintendo SPD Group 4",,Nintendo,11/25/10,"1,540,000",Mario Sports Mix,,
Wii,,,,8/28/07,"1,500,000",Carnival Games,,
Wii,"Retro Studios, Nintendo",,Nintendo,8/27/07,"1,410,000",Metroid Prime 3: Corruption,,
Wii,Vicarious Visions,,Activision,10/26/08,"1,334,000",Guitar Hero World Tour,,
Wii,"Capcom,Cavia",,Capcom,11/13/07,"1,300,000",Resident Evil: The Umbrella Chronicles,,
Wii,"Namco Bandai Games, Now Production",,Nintendo,6/19/08,"1,260,000",Mario Super Sluggers,,
Wii,,,Nintendo,6/13/11,"1,260,000",Wii Play: Motion,,
Wii,Genius Sonority,Sports,Nintendo,12/14/06,"1,202,000",Pok_mon Battle Revolution,,
Wii,Ubisoft Montpellier,,Ubisoft,11/19/06,"1,200,000",Rayman Raving Rabbids,,
Wii,Namco Bandai Games,Adventure,Namco Bandai Games,1/31/08,"1,200,000",We Ski,,
Wii,,,,6/24/08,"1,200,000",Big Beach Sports,,
Wii,,,,5/29/08,"1,030,000",Active Life: Outdoor Challenge,,
Wii,Blitz Games,,Toy Headquarters,"WW:September 24, 2007","1,000,000",Bratz: The Movie,,
Wii,,,Activision,11/10/08,"1,000,000",Call of Duty: World at War,,
Wii,,,Ubisoft,11/19/06,"1,000,000",Red Steel,,
Wii,Pi Studios,,"MTV Games, Electronic Arts",6/22/08,"1,000,000",Rock Band,,
Wii,,,,10/6/08,"1,000,000",Game Party 2,,
,,,,,,,,
Wii U,,,,,"8,400,000",Mario Kart 8,,
Wii U,,,,,"5,750,000",New Super Mario Bros. U,,
Wii U,,,,,"5,750,000",Super Mario 3D World,,
Wii U,,,,,"5,320,000",Super Smash Bros. for Wii U,,
Wii U,,,,,"5,190,000",Nintendo Land,,
Wii U,,,,,"4,910,000",Splatoon,,
Wii U,,,,,"3,990,000",Super Mario Maker,,
Wii U,,,,,"3,020,000",New Super Luigi U,,
Wii U,,,,,"2,250,000",The Legend of Zelda: The Wind Waker HD,,
Wii U,,,,,"1,580,000",Mario Party 10,,
Wii U,,,,,"1,370,000",Wii Party U,,
Wii U,,,,,"1,370,000",Yoshi's Woolly World,,
Wii U,,,,,"1,080,000",The Legend of Zelda: Breath of the Wild,,
Wii U,,,,,"1,000,000",Hyrule Warriors,,
Wii U,,,,,"1,000,000",Pokk_n Tournament,,
,,,,,,,,
Switch,Nintendo EPD,,Nintendo,,"9,070,000",Super Mario Odyssey,,
Switch,Nintendo EPD,,Nintendo,,"7,330,000",Mario Kart 8 Deluxe,,
Switch,Nintendo EPD,,Nintendo,,"6,700,000",The Legend of Zelda: Breath of the Wild,,
Switch,Nintendo EPD,,Nintendo,,"4,910,000",Splatoon 2,,
Switch,Nintendo EPD,,Nintendo,,"1,880,000",1-2-Switch,,
Switch,Nintendo EPD,,Nintendo,,"1,610,000",Arms,,
Switch,Monolith Soft,,Nintendo,,"1,060,000",Xenoblade Chronicles 2,,
,,,,,,,,
PS1,,,,,"150,000",Gran Turismo,,
PS1,,,,,"9,720,000",Final Fantasy VII,,
PS1,,,,,"9,970,000",Gran Turismo 2,,
PS1,,,,,"7,860,000",Final Fantasy VIII,,
PS1,,,,,"7,130,000",Crash Bandicoot 3: Warped,,
PS1,,,,,"6,820,000",Crash Bandicoot,,
PS1,,,,,"6,030,000",Metal Gear Solid,,
PS1,,,,,"5,300,000",Final Fantasy IX,,
PS1,,,,,"5,240,000",Tomb Raider II,,
PS1,,,,,"5,170,000",Crash Bandicoot 2: Cortex Strikes Back,,
PS1,,,,,"5,000,000",Tomb Raider: The Last Revelation,,
PS1,,,,,"4,960,000",Resident Evil 2,,
PS1,,,,,"4,832,000",Spyro the Dragon,,
PS1,,,,,"4,640,000",Tekken 3,,
PS1,,,,,"4,630,000",Tomb Raider,,
PS1,,,,,"4,120,000",Dragon Warrior VII,,
PS1,,,,,"4,000,000",Rayman,,
PS1,,,,,"3,540,000",Tomb Raider III,,
PS1,,,,,"3,500,000",Resident Evil 3: Nemesis,,
PS1,,,,,"3,451,000",Spyro 2: Ripto's Rage!,,
PS1,,,,,"3,370,000",Frogger,,
PS1,,,,,"3,370,000",Tekken 2,,
PS1,,,,,"3,320,000",Tony Hawk's Pro Skater,,
PS1,,,,,"3,283,000",Spyro: Year of the Dragon,,
PS1,,,,,"3,220,000",Driver,,
PS1,,,,,"3,150,000",Tony Hawk's Pro Skater 2,,
PS1,,,,,"3,000,000",PaRappa the Rapper,,
PS1,,,,,"3,000,000",Croc: Legend of the Gobbos,,
PS1,,,,,"3,000,000",Harry Potter and the Philosopher's Stone,,
PS1,,,,,"2,850,000",Driver 2,,
PS1,,,,,"2,750,000",Resident Evil,,
PS1,,,,,"2,400,000",Dino Crisis,,
PS1,,,,,"2,300,000",Final Fantasy Tactics,,
PS1,,,,,"2,240,000",Namco Museum Volume 3,,
PS1,,,,,"2,200,000",Crash Team Racing,,
PS1,,,,,"2,200,000",Tony Hawk's Pro Skater 3,,
PS1,,,,,"2,200,000",WWF War Zone,,
PS1,,,,,"2,130,000",Everybody's Golf,,
PS1,,,,,"2,010,000",Mortal Kombat Trilogy,,
PS1,,,,,"2,000,000",Derby Stallion,,
PS1,,,,,"2,000,000",Silent Hill,,
PS1,,,,,"1,920,000",WWF SmackDown!,,
PS1,,,,,"1,900,000",Crash Bash,,
PS1,,,,,"1,870,000",WWF SmackDown! 2: Know Your Role,,
PS1,,,,,"1,850,000",Spider-Man,,
PS1,,,,,"1,799,000",Parasite Eve,,
PS1,,,,,"1,770,000",Tetris Plus,,
PS1,,,,,"1,750,000",Syphon Filter,,
PS1,,,,,"1,740,000",Twisted Metal 2,,
PS1,,,,,"1,720,000",Tomorrow Never Dies,,
PS1,,,,,"1,700,000",Need For Speed III,,
PS1,,,,,"1,653,000",Yu-Gi-Oh! Forbidden Memories,,
PS1,,,,,"1,650,000",Namco Museum Volume 1,,
PS1,,,,,"1,640,000",Medal of Honor,,
PS1,,,,,"1,500,000",A Bug's Life,,
PS1,,,,,"1,500,000",Legacy of Kain: Soul Reaver,,
PS1,,,,,"1,500,000",Madden NFL 99,,
PS1,,,,,"1,500,000",Tomb Raider Chronicles,,
PS1,,,,,"1,480,000",Madden NFL 2000,,
PS1,,,,,"1,470,000",NFL GameDay '98,,
PS1,,,,,"1,460,000",Rugrats: Search for Reptar,,
PS1,,,,,"1,450,000",Grand Theft Auto 2,,
PS1,,,,,"1,440,000",Everybody's Golf 2,,
PS1,,,,,"1,430,000",Cool Boarders 3,,
PS1,,,,,"1,420,000",Syphon Filter 2,,
PS1,,,,,"1,390,000",Need For Speed: High Stakes,,
PS1,,,,,"1,310,000",Jet Moto 2,,
PS1,,,,,"1,300,000",WCW Nitro,,
PS1,,,,,"1,290,000",Twisted Metal III,,
PS1,,,,,"1,270,000",Dance Dance Revolution,,
PS1,,,,,"1,270,000",Jet Moto,,
PS1,,,,,"1,270,000",Spec Ops: Stealth Patrol,,
PS1,,,,,"1,269,000",Chrono Cross,,
PS1,,,,,"1,250,000",Madden NFL 98,,
PS1,,,,,"1,240,000",Pac-Man World,,
PS1,,,,,"1,240,000",The Legend of Dragoon,,
PS1,,,,,"1,210,000",Cool Boarders 2,,
PS1,,,,,"1,200,000",Dragon Warrior IV,,
PS1,,,,,"1,200,000",Resident Evil DC Dual Shock,,
PS1,,,,,"1,193,000",Tales of Destiny,,
PS1,,,,,"1,190,000",Dino Crisis 2,,
PS1,,,,,"1,190,000",Monopoly,,
PS1,,,,,"1,166,000",Chocobo no Fushigina Dungeon,,
PS1,,,,,"1,160,000",NASCAR 98,,
PS1,,,,,"1,150,000",NBA Live 98,,
PS1,,,,,"1,140,000",NASCAR 99,,
PS1,,,,,"1,131,000",Xenogears,,
PS1,,,,,"1,130,000",Resident Evil Director's Cut,,
PS1,,,,,"1,120,000",NFL GameDay '99,,
PS1,,,,,"1,100,000",Arc the Lad,,
PS1,,,,,"1,100,000",Beatmania,,
PS1,,,,,"1,100,000",Derby Stallion '99,,
PS1,,,,,"1,100,000",Devil Dice,,
PS1,,,,,"1,100,000",SaGa Frontier,,
